id,titre,description,enonce,ordre,moduleId,competenceIds,difficulty,weight
e001,Typage d'une mini-bibliothèque,Modéliser les types d'une bibliothèque de prêt de livres.,Créer les types Book Member et Loan avec les alias appropriés. Utiliser l'inférence là où c'est possible.,1,m001,c001,0.3,1
e002,Contrôle de flux : calculatrice,Implémenter une calculatrice avec gestion des cas limites.,Écrire une fonction calculate(op string a number b number) gérant +  - * / avec pattern matching et toutes les erreurs.,1,m002,c002,0.4,1
e003,Bibliothèque de fonctions pures,Écrire un ensemble de fonctions utilitaires pures.,Implémenter map filter reduce et zip sans muter les tableaux d'entrée. Chaque fonction doit être testable sans setup.,1,m003,c003,0.5,2
e004,Modélisation d'une banque OOP,Modéliser un système bancaire simplifié en POO.,Créer les classes Account SavingsAccount et CreditAccount avec héritage. Implémenter withdraw et deposit avec les invariants métier.,1,m004,c004,0.6,2
e005,Refactoring vers polymorphisme,Remplacer des conditions if-else chaînées par du polymorphisme.,Partir d'un code avec des switch on a type d'animal and le refactorer en hiérarchie de classes polymorphiques.,1,m005,c004,0.7,3
e006,Gestion d'erreurs sans exceptions,Convertir un code exception-based vers le pattern Result.,Réécrire un parseur de configuration qui utilise des exceptions pour utiliser un type Result<Config Error>. Gérer la composition d'erreurs.,1,m006,c011,0.6,2
e007,Compteur thread-safe,Implémenter un compteur concurrent sans data race.,Créer un compteur incrémenté par 100 threads en parallèle. Montrer la version non thread-safe puis corriger avec les primitives adaptées.,1,m007,c005,0.7,3
e008,Producteur-consommateur,Implémenter le pattern classique avec une queue bornée.,Écrire un producteur qui génère des messages et 3 consommateurs qui les traitent. Utiliser une BlockingQueue avec capacité 10.,1,m008,c006,0.8,4
e009,Pool de connexions concurrent,Implémenter un pool de connexions thread-safe.,Créer un ConnectionPool avec acquire et release. Gérer le cas où toutes les connexions sont en cours d'utilisation avec timeout.,1,m009,c006,0.8,4
e010,TDD sur un panier e-commerce,Développer un panier en Test-Driven Development.,Écrire d'abord les tests pour Cart.addItem removeItem et total. Implémenter ensuite le code minimal pour les faire passer. Refactorer.,1,m010,c009,0.5,2
e011,Tests d'intégration d'une API,Écrire des tests d'intégration pour un endpoint REST.,Tester le endpoint POST /orders avec une vraie base de données en mémoire. Vérifier le statut HTTP le body et les effets de bord.,1,m011,c009,0.6,3
e012,Implémentation d'une Factory,Créer une factory pour instancier des parseurs selon le format.,Implémenter ParserFactory.create(format) retournant JsonParser XmlParser ou CsvParser selon le format. Utiliser une registry.,1,m012,c012,0.4,2
e013,Système de notifications avec Observer,Implémenter un système de notifications découplé.,Créer un EventBus avec subscribe et publish. Implémenter EmailNotifier SlackNotifier et LogNotifier comme observateurs de UserRegistered.,1,m013,c012,0.6,3
e014,Service applicatif hexagonal,Structurer un service selon l'architecture hexagonale.,Implémenter CreateOrderUseCase avec un port OrderRepository. Écrire un adaptateur in-memory pour les tests et un adaptateur SQL pour la production.,1,m014,c010,0.7,3
