id,titre,contenu,type,ordre,moduleId,competencyIds
l001,Introduction aux types primitifs,Présentation des types int float boolean string et leurs subtilités selon les langages.,TEXTE,1,m001,c001
l002,Inférence de types et annotations,Comment le compilateur déduit les types et quand annoter explicitement.,VIDEO,2,m001,c001
l003,Types composés et alias,Tuples enums unions et création d'alias de types pour un code expressif.,INTERACTIF,3,m001,c001
l004,Conditionnels et expressions booléennes,if-else ternaire et opérateurs logiques avec court-circuit.,TEXTE,1,m002,c002
l005,Boucles et itérateurs,for while do-while et l'utilisation des itérateurs modernes.,VIDEO,2,m002,c002
l006,Pattern matching,Switch expressions et pattern matching pour des structures de contrôle lisibles.,SIMULATION,3,m002,c002
l007,Fonctions de premier ordre,Fonctions comme valeurs passage en paramètre et retour de fonctions.,TEXTE,1,m003,c003
l008,Closures et portée lexicale,Comprendre la capture de variables et les environnements lexicaux.,VIDEO,2,m003,c003
l009,Fonctions pures et effets de bord,Définir la pureté différencier les effets de bord et leurs impacts sur la testabilité.,INTERACTIF,3,m003,c003
l010,Déclaration de classes et constructeurs,Syntaxe de classe constructeurs et initialisation des attributs.,TEXTE,1,m004,c004
l011,Héritage et classe abstraite,Extension de classes méthodes abstraites et règles du contrat.,VIDEO,2,m004,c004
l012,Interfaces et duck typing,Définition d'interfaces contrats comportementaux et implémentations multiples.,SIMULATION,3,m004,c004
l013,Encapsulation et modificateurs,public private protected et les getters/setters.,TEXTE,1,m005,c004
l014,Surcharge et substitution,Overloading vs overriding et le principe de substitution de Liskov.,VIDEO,2,m005,c004
l015,Gestion des exceptions checked/unchecked,Hiérarchie des exceptions try-catch-finally et bonnes pratiques.,TEXTE,1,m006,c011
l016,Pattern Result et Either,Modélisation des erreurs sans exceptions : types Result Option et Either.,VIDEO,2,m006,c011
l017,Création et démarrage de threads,Thread API cycle de vie et transitions d'états.,TEXTE,1,m007,c005
l018,Communication inter-threads,Partage de données wait notify et variables volatiles.,VIDEO,2,m007,c005
l019,Sections critiques et verrous,Race conditions mutex ReentrantLock et conditions d'interblocage.,TEXTE,1,m008,c005
l020,Structures de données concurrentes,ConcurrentHashMap BlockingQueue et classes atomiques.,VIDEO,2,m008,c006
l021,Acteurs et modèle de messages,Modèle acteur isolation de l'état et passage de messages asynchrones.,TEXTE,1,m009,c006
l022,Structures lock-free,CAS compare-and-swap algorithmes sans verrou et garanties de progression.,VIDEO,2,m009,c006
l023,Anatomie d'un test unitaire,Structure AAA mocking des dépendances et assertions expressives.,TEXTE,1,m010,c009
l024,Frameworks de test et injection,JUnit/Jest/pytest injection de dépendances et configuration de mocks.,VIDEO,2,m010,c009
l025,Stratégie de mocking,Mocks stubs fakes et spy : quand et comment les utiliser.,INTERACTIF,3,m010,c009
l026,Tests d'intégration vs unitaires,Périmètre responsabilités et complémentarité dans la pyramide de tests.,TEXTE,1,m011,c009
l027,Tests avec base de données,Test containers transactions de test et isolation des données.,VIDEO,2,m011,c009
l028,Factory et Abstract Factory,Création d'objets sans couplage aux classes concrètes.,TEXTE,1,m012,c012
l029,Builder et Fluent Interface,Construction step-by-step d'objets complexes avec validation.,VIDEO,2,m012,c012
l030,Observer et Event Bus,Découplage via événements : publisher subscriber et event bus.,TEXTE,1,m013,c012
